 (1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (1.00+0.00j), (-1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (-1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (1.00+0.00j), (1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (-1.00+0.00j), (-1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (-1.00-0.00j), (0.00+0.00j), (0.00+0.00j), (1.00+0.00j), (0.71+0.00j), (0.00+0.00j), (0.00+0.00j), (-0.71-0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (1.00+0.00j), (-1.00-0.00j), (0.00+0.00j), (0.00+0.00j), (-0.71-0.00j), (0.71+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (-0.88-0.48j), (-0.00+0.00j), (0.00-0.00j), (-0.88+0.48j), (0.06-1.00j), (0.00-0.00j), (-0.00+0.00j), (0.06+1.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00-0.00j), (-0.88+0.48j), (-0.88-0.48j), (-0.00+0.00j), (-0.00+0.00j), (0.06+1.00j), (0.06-1.00j), (0.00-0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.62+0.34j), (-0.00+0.00j), (-0.00+0.00j), (-0.62+0.34j), (-0.03+0.50j), (-0.00+0.00j), (-0.00+0.00j), (0.03+0.50j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (-0.00+0.00j), (-0.62+0.34j), (0.62+0.34j), (-0.00+0.00j), (-0.00+0.00j), (0.03+0.50j), (-0.03+0.50j), (-0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
 (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (-0.99-0.12j), (-0.00+0.00j), (0.00-0.00j), (-0.99+0.12j), (-1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (-1.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j), (0.00+0.00j)
